Valuation_Year,Book_Value,Total_Assets,Total_Liabilities,Total_Revenues,Working_Capital,Retained_Earnings,EBIT,Equity_Value
2008,3751.887,32461.11278,28709.22578,31929.256,-183.461,1453.402409,3302.199234,3983.50763
2016,54971.13,211609.4683,156638.3383,103261.18,1760.025,33043.97315,-19996.50191,82604.51139
2016,28315.616,65483.34905,37167.73305,58827.968,14684.793,8637.644996,3485.689198,33546.14473
2011,90672.11,395154.7786,304482.6686,290390.126,-20150.578,58420.92632,5790.537354,144051.2356
2012,23728.984,49296.17627,25567.19227,76296.877,10560.425,7438.407677,3180.631138,34615.90904
2014,27670.486,51583.85241,23913.36641,23391.95,3568.375,17386.40874,5576.838314,39707.06918
2014,61972.67,180286.1763,118313.5063,126792.203,-12101.684,28645.13763,25482.34812,112545.2136
2010,39194.21,133607.7383,94413.52826,75627.101,11882.335,24316.15021,14391.72436,9032.519763
2015,21900.491,61127.88524,39227.39424,88884.04,13735.624,7500.500078,9746.17035,10218.96853
2008,46445.399,126047.3678,79601.96876,128107.179,17725.907,16287.55155,11687.19947,50880.46745
2009,144159.3,406651.4853,262492.1853,194469.2,-2621.184,84395.98289,35136.30388,185622.1582
2014,39010.402,96277.1681,57266.7661,98774.045,15588.209,17536.17712,7209.100592,38446.35054
2015,9619.883,23183.00718,13563.12418,19825.38,3504.338,5528.769611,1164.401164,8142.222258
2013,148941.115,265929.4555,116988.3405,168855.972,35946.651,81432.05304,20699.18847,226289.8716
2009,6873.29,12319.56239,5446.272389,9006.85,697.628,3230.222395,-763.8012772,13634.77219
2011,74275.693,196925.2778,122649.5848,277308.818,33514.699,39810.20238,21846.10322,40988.14509
2013,123867.704,350555.8519,226688.1479,501424.101,-45544.932,50145.61166,77887.26301,274422.978
2012,65499.642,157931.7212,92432.07924,147629.678,25437.699,31109.83449,13919.09697,62374.98368
2010,484944.8,772481.8728,287537.0728,422874.7,6273.31,307424.6438,76713.21539,900057.2843
2011,121820.24,314731.9268,192911.6868,153879.795,20213.916,82531.89406,14406.47896,108349.8719
2008,206977.007,455565.5569,248588.5499,278587.535,73061.316,129943.4282,66974.96191,150788.4092
2015,13672.18,23356.62374,9684.443742,16051.283,1199.264,7515.084204,1399.007254,24825.68841
2012,29468.263,64379.55257,34911.28957,68251.775,14329.913,11383.54123,8748.281873,30519.24704
2016,1351.08,1908.778667,557.6986668,4313.781,571.796,655.0844161,88.2366664,2636.395919
2011,56362.758,91045.0384,34682.2804,107768.337,22108.782,37421.81412,8160.42913,76294.7254
2015,35782.825,61951.90795,26169.08295,121105.379,21725.558,15773.60714,5226.449003,45900.54784
2016,138269.142,263492.6411,125223.4991,132088.705,860.292,76597.25763,9216.338178,249329.7315
2007,33233.018,73421.30948,40188.29148,58618.661,5601.617,19379.93945,7089.296096,40808.06894
2016,43869.995,114615.7879,70745.79286,161665.783,21015.937,18446.1476,10789.02303,35829.79103
2015,154675.051,293187.9709,138512.9199,245162.32,12908.819,101348.6401,31752.18839,223739.8718
2012,10478.572,41441.19335,30962.62135,144406.837,7771.412,3468.502791,2217.865519,4633.605075
2013,15952.21,32861.03428,16908.82428,46075.224,4886.013,5662.235645,3753.681748,24597.88336
2009,6638.646,27095.82417,20457.17817,3925.923,-6212.609,3043.95682,1014.561568,24404.31327
2016,186421.284,320102.8429,133681.5589,180176.594,45337.563,123027.0125,25741.24581,261730.9106
2007,263118.02,554664.9061,291546.8861,1660430.908,-88522.617,140785.8867,80332.0571,605598.2871
2007,79554.894,166388.907,86834.01301,105793.875,24406.188,29541.1576,13954.09156,118400.2769
2008,60114.196,99727.91211,39613.71611,117723.3,77810.825,23073.38063,13915.95279,30485.63899
2015,73031.712,301744.8741,228713.1621,72140.424,11304.364,33017.75997,-10652.66843,97909.88213
2008,66706.587,165580.8704,98874.28338,179953.874,15931.245,38121.55627,32877.08936,52603.90852
2012,190343.562,351704.9,161361.338,173308.712,11768.211,66863.2164,40770.77338,382580.9427
2010,118899.15,194098.7014,75199.55137,123734.87,-19103.659,51600.68379,15958.96831,277542.4164
2014,263427,463345.6605,199918.6605,225939.7,3042.147,181193.8642,19157.48183,439710.1911
2007,163443.6,232679.4901,69235.89013,225018.2,-118819.899,90863.22056,24513.77195,465986.5512
2013,82184.384,165181.5916,82997.20759,157857.168,36791.831,26948.73622,20926.95728,111430.0659
2012,26123.174,52325.31569,26202.14169,42659.576,6098.355,10318.46306,4812.847857,42218.17275
2007,5543.58,12923.5498,7379.969798,18110.7,1206.038,2081.742006,1372.134842,8385.894178
2009,372074,527727.6639,155653.6639,319821,17227,164568.0578,-12716.53272,856421.6991
2009,267093.624,427068.0995,159974.4755,125624.209,1620.009,180239.816,-25999.81209,512030.1941
2012,180275.952,514668.3003,334392.3483,240881.55,16796.206,109339.0347,41856.20779,181014.3553
2007,180234.763,331870.1401,151635.3771,437179.44,49868,109645.428,3130.938558,255331.2135
2007,39510.848,121373.3897,81862.54165,129247.76,9345.396,25971.4592,12688.23067,19419.18102
2012,6516.4,10238.74142,3722.341418,13471.66,2074.662,2803.906772,807.9787164,11958.13814
2016,323270.93,871833.8555,548562.9255,282366.5,7259.436,129562.7965,55379.7079,554461.0529
2011,26842.823,35124.10895,8281.285945,14055.889,1685.704,15321.22681,3042.293412,59772.95631
2014,16089.3,32401.36528,16312.06528,36398.1,4220.425,11088.28382,1944.658941,17298.39782
2009,523421.312,1492351.295,968929.9834,168956.444,151469.736,338213.5711,32189.65158,318170.0799
2016,4247.2,9940.865612,5693.665612,1735.932,-59.246,1290.937116,-116.5153213,9398.705074
2016,1832.4,3134.712526,1302.312526,716.7,2157.322,613.8681898,45.68449464,1259.347694
2008,18689.295,46480.13142,27790.83642,57647.31,8075.118,7770.237177,2317.644517,19720.41218
2014,11341.546,41135.91239,29794.36639,38510.92,6032.345,4925.690228,2458.393717,3637.300267
2007,20352.4,26713.42327,6361.023269,22772,-1731.3,13863.59062,958.5153437,46146.00073
2013,45229.382,122768.1531,77538.77112,159555.562,24790.353,18221.11018,12603.38616,28900.8796
2011,129191.9,293807.8058,164615.9058,955298,554.208,53990.03592,39113.38519,249378.8099
2011,16301.247,61645.73512,45344.48812,226879.413,-450.084,10668.48891,6140.800596,20715.10172
2007,79270.05,219189.8645,139919.8145,433493.199,-16029.393,28821.34944,22725.08647,183142.9028
2007,66656.11,226140.0811,159483.9711,407056.578,19332.924,37979.32903,10156.98271,50052.02652
2010,6045.36,14066.47339,8021.113389,14925.01,2033.856,4011.047927,-3.503680449,5297.189826
2008,214763.987,365853.9829,151089.9959,231981.887,40447.005,133141.3313,55891.82186,320221.9572
2014,29724.34,52438.89766,22714.55766,56177.52,15627.714,9606.34835,12576.63688,40324.98528
2010,6665.5,11083.92718,4418.427179,6341.19,543.59,4278.602197,359.1145639,11635.95692
2011,14416.8,31304.1345,16887.3345,49818.9,10154.456,8452.815748,4450.047098,4233.649185
2012,317151.694,375905.4848,58753.79084,276817.247,14964.247,114699.1231,54856.28019,805673.6893
2013,8881.071,32230.66438,23349.59338,17806.5,1883.213,3979.547272,854.2883324,9738.26154
2009,251412.712,515292.7898,263880.0778,353185.883,46438.51,126517.4831,82175.99511,343937.3872
2014,35499,63336.41945,27837.41945,79087.1,17154.866,18446.43724,2868.694116,45384.31779
2012,36951.51,132994.4268,96042.91675,71647.46,7875.757,25785.79242,8898.235694,10967.70028
2011,62115.242,110069.1489,47953.90689,98409.885,16568.752,40767.70037,18607.65603,77060.75824
2010,258937.76,659829.9867,400892.2267,342578.933,4058.294,168226.0149,65303.21875,300175.0399
2010,35456.52,118723.4446,83266.92462,208115.5,16585.377,20262.03391,12638.10904,5730.416403
2013,49986.9,115169.0714,65182.17138,42821.7,708.1,21619.52209,16568.10573,82826.62206
2014,45429.66,108761.8956,63332.23564,86696.32,5264.53,23712.27448,-2215.731153,70590.44492
2016,138319.5,354552.5269,216233.0269,120533.2,10864.2,76919.67059,24287.04454,177829.917
2009,12878.134,33199.02999,20320.89599,7129.648,1208.42,8445.029483,2154.587808,13087.54274
2007,9739913.105,30034624.63,20294711.53,15892606.91,-5737475.716,3632391.268,1496717.63,29973268.28
2009,7379276.505,16946503.78,9567227.27,14308087.57,1184869.799,3503992.345,1390818.709,10631988.41
2010,44112.05071,155935.4159,111823.3652,84240.9495,8727.098857,27036.70929,3672.533345,31761.78964
2016,33663.60634,82104.87694,48441.2706,50557.78162,7892.199725,20990.34567,10161.17866,27450.9043
2013,14886.37286,57432.87051,42546.49765,44122.16565,6556.165702,4709.945724,3385.373349,11664.55047
2012,23086.35544,62063.81346,38977.45802,83328.04118,13911.08212,7710.706383,8588.892515,14446.55064
2012,61759.71555,181011.5489,119251.8333,126076.4982,-11680.07496,28778.92985,24099.09197,111736.5174
2008,22311.65906,57809.64451,35497.98546,86053.60019,13021.62597,7486.537535,8269.796084,16016.19268
2015,54016.60964,206321.6682,152305.0585,101589.289,2372.435469,32515.93062,-17915.97782,78137.45903
2016,29133.38439,84511.79456,55378.41017,110076.969,10171.72235,12855.93622,9330.145947,24960.28125
2012,32975.6423,89377.30915,56401.66685,75896.41794,11350.79496,17529.60958,9883.743538,22957.3483
2014,24087.31813,50441.31572,26353.99758,74932.10512,10882.64441,7532.09901,3204.464032,34517.973
2008,27909.73346,63904.57617,35994.84272,60373.83547,14319.81736,8531.521485,3458.693847,33707.00592
2010,19813.81535,48365.31469,28551.49934,67601.58364,8454.807468,6265.449213,3204.456401,25464.96222
2010,38494.75976,127527.0291,89032.26938,75657.39315,11822.54859,23552.81567,13884.67701,10935.54899
2011,41553.24172,130755.8483,89202.60659,92700.46213,13783.42621,21704.20355,13511.86038,22907.65827
